,playerName,Pos,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,dummy,SOS,NBAGP,NBATRB,NBAAST,NBASTL,NBABLK,NBAPTS
101,Buddy Hield,SG,Oklahoma,,132,118,31.7,5.9,13.2,.448,3.3,6.5,.508,2.6,6.8,.390,2.8,3.4,.836,1.6,3.4,5.0,1.9,1.3,0.3,2.2,2.0,17.4,,9.28,82,3.3,1.5,0.5,0.1,10.6
102,Jamal Murray,SG,Kentucky,,36,36,35.2,6.8,14.9,.454,3.6,7.3,.502,3.1,7.7,.408,3.3,4.2,.783,1.5,3.7,5.2,2.2,1.0,0.3,2.3,2.1,20.0,,8.84,82,2.6,2.1,0.6,0.3,9.9
103,Marquese Chriss,PF,Washington,,34,34,24.9,5.3,9.9,.530,4.6,8.2,.568,0.6,1.8,.350,2.6,3.8,.682,2.5,2.9,5.4,0.8,0.9,1.6,2.0,4.1,13.7,,8.12,82,4.2,0.7,0.8,0.9,9.2
104,Jakob Poeltl,C,Utah,,70,70,26.9,5.1,7.7,.658,5.1,7.7,.659,0.0,0.0,.000,3.1,5.2,.605,2.8,5.2,8.0,1.3,0.5,1.7,1.8,2.4,13.3,,8.10,54,3.1,0.2,0.3,0.4,3.1
105,Domantas Sabonis,PF,Gonzaga,,74,32,26.6,5.2,8.2,.632,5.1,8.0,.638,0.1,0.2,.357,3.1,4.2,.729,2.6,6.8,9.4,1.3,0.5,0.6,2.0,3.0,13.5,,4.67,81,3.6,1.0,0.5,0.4,5.9
106,Taurean Prince,SF,Baylor,,129,42,20.2,3.6,7.9,.460,2.6,5.2,.504,1.0,2.7,.376,2.0,2.8,.718,1.6,2.7,4.2,1.1,0.9,0.5,1.7,2.1,10.2,,9.08,59,2.7,0.9,0.7,0.5,5.7
107,Denzel Valentine,SG,Michigan State,,144,116,29.0,4.0,9.1,.442,2.2,4.6,.476,1.8,4.5,.408,1.5,2.0,.779,1.1,4.8,5.9,4.4,0.9,0.3,2.2,2.1,11.4,,9.21,57,2.6,1.1,0.5,0.1,5.1
108,Wade Baldwin,PG,Vanderbilt,,68,54,29.6,3.4,8.0,.431,2.2,5.1,.436,1.2,2.9,.422,3.5,4.4,.800,0.4,3.6,4.1,4.8,1.3,0.2,2.3,2.5,11.6,,7.45,33,1.4,1.8,0.5,0.2,3.2
109,Henry Ellenson,PF,Marquette,,33,33,33.5,5.9,13.2,.446,5.0,10.0,.495,0.9,3.2,.288,4.3,5.8,.749,2.2,7.6,9.7,1.8,0.8,1.5,2.4,2.5,17.0,,5.57,19,2.2,0.4,0.1,0.1,3.2
110,Malik Beasley,SG,Florida State,,34,33,29.8,5.4,11.6,.471,3.8,7.4,.518,1.6,4.2,.387,3.1,3.8,.813,1.3,4.0,5.3,1.5,0.9,0.2,1.7,2.2,15.6,,8.16,22,0.8,0.5,0.3,0.0,3.8
111,Caris LeVert,SF,Michigan,,103,70,26.4,3.6,8.2,.434,2.3,4.9,.456,1.3,3.2,.401,2.0,2.6,.770,0.4,3.2,3.5,2.7,0.9,0.2,1.3,1.5,10.4,,9.30,57,3.3,1.9,0.9,0.1,8.2
112,DeAndre' Bembry,SF,St. Joseph's,,101,100,36.1,5.7,12.6,.457,4.6,8.8,.520,1.2,3.8,.312,3.1,4.9,.628,1.4,5.3,6.7,3.6,1.4,0.8,2.5,2.5,15.7,,4.20,38,1.6,0.7,0.2,0.1,2.7
113,Malachi Richardson,SG,Syracuse,,37,37,34.4,4.1,11.1,.369,2.0,5.1,.388,2.1,6.1,.353,3.1,4.2,.720,0.5,3.8,4.3,2.1,1.1,0.3,2.1,2.5,13.4,,9.75,22,1.0,0.5,0.2,0.0,3.6
114,Brice Johnson,PF,UNC,,148,80,21.0,4.8,8.4,.575,4.8,8.4,.575,0.0,0.0,,1.9,2.8,.708,2.1,4.9,7.0,0.9,0.8,1.1,1.3,2.5,11.6,,9.72,3,1.0,0.3,0.7,0.3,1.3
115,Pascal Siakam,PF,New Mexico State,,68,61,32.7,6.5,11.8,.551,6.4,11.5,.559,0.0,0.3,.176,3.5,5.0,.711,3.6,6.1,9.7,1.5,0.9,2.0,1.9,2.6,16.6,,-3.60,55,3.4,0.3,0.5,0.8,4.2
116,Skal Labissière,PF,Kentucky,,36,18,15.8,2.7,5.3,.516,2.7,5.2,.521,0.0,0.1,.000,1.1,1.7,.661,1.0,2.2,3.1,0.3,0.3,1.6,0.9,3.0,6.6,,8.84,33,4.9,0.8,0.5,0.4,8.8
117,Dejounte Murray,PG,Washington,,34,34,33.5,5.9,14.3,.416,4.9,10.8,.457,1.0,3.5,.288,3.2,4.9,.663,1.4,4.6,6.0,4.4,1.8,0.3,3.2,2.6,16.1,,8.12,38,1.1,1.3,0.2,0.2,3.4
118,Damian Jones,C,Vanderbilt,,99,95,27.1,5.1,9.1,.566,5.1,9.0,.570,0.0,0.1,.125,3.0,5.3,.565,2.1,4.3,6.4,0.7,0.4,1.7,2.0,3.0,13.3,,7.13,10,2.3,0.0,0.1,0.4,1.9
119,Deyonta Davis,C,Michigan State,,35,16,18.6,3.4,5.7,.598,3.4,5.7,.598,0.0,0.0,,0.7,1.1,.605,2.1,3.4,5.5,0.7,0.3,1.8,0.9,2.3,7.5,,6.94,36,1.7,0.1,0.1,0.5,1.6
120,Cheick Diallo,PF,Kansas,,27,1,7.5,1.2,2.1,.569,1.2,2.1,.569,0.0,0.0,,0.6,1.0,.556,0.6,1.9,2.5,0.0,0.3,0.9,0.6,1.4,3.0,,11.22,17,4.3,0.2,0.2,0.4,5.1
121,Tyler Ulis,PG,Kentucky,,72,35,30.1,3.6,8.4,.427,2.4,5.1,.462,1.2,3.3,.371,2.9,3.4,.846,0.5,1.9,2.4,5.3,1.2,0.1,1.5,1.7,11.3,,8.76,61,1.6,3.7,0.8,0.1,7.3
122,Malcolm Brogdon,SG,Virginia,,136,109,30.6,4.4,10.3,.430,3.1,6.6,.466,1.4,3.7,.365,3.1,3.5,.876,0.6,3.5,4.1,2.5,0.9,0.2,1.5,1.8,13.3,,7.76,75,2.8,4.2,1.1,0.2,10.2
123,Chinanu Onuaku,C,Louisville,,66,55,21.0,2.8,4.5,.619,2.8,4.4,.621,0.0,0.0,.000,0.7,1.3,.547,2.4,4.0,6.4,1.1,0.8,1.6,1.7,2.7,6.2,,8.36,5,2.0,0.6,0.6,0.2,2.8
124,Patrick McCaw,SG,UNLV,,65,48,31.7,4.2,9.6,.439,2.3,4.3,.527,1.9,5.2,.367,1.9,2.5,.753,0.9,3.3,4.2,3.3,2.0,0.4,1.9,1.9,12.2,,3.28,71,1.4,1.1,0.5,0.2,4.0
125,Diamond Stone,C,Maryland,,35,22,23.1,4.8,8.4,.568,4.8,8.4,.568,0.0,0.0,,2.9,3.8,.761,2.2,3.2,5.4,0.4,0.5,1.6,1.5,2.3,12.5,,8.31,7,0.9,0.0,0.0,0.1,1.4
126,Stephen Zimmerman,C,UNLV,,26,24,26.2,3.9,8.2,.477,3.7,7.6,.492,0.2,0.7,.294,2.4,3.9,.624,2.2,6.6,8.7,0.8,0.5,2.0,2.1,3.0,10.5,,3.17,19,1.8,0.2,0.1,0.3,1.2
