,playerName,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,dummy,SOS
245,Pierre Jackson,Baylor,,74,55,32.8,5.3,11.9,.441,3.1,6.4,.496,2.1,5.6,.379,4.0,5.0,.808,0.8,2.5,3.3,6.5,1.6,0.0,3.5,2.3,16.7,,7.58
246,Mike Muscala,Bucknell,,133,118,28.7,5.4,10.8,.501,5.3,10.3,.510,0.2,0.5,.313,4.3,5.2,.819,2.3,6.0,8.2,1.6,0.4,2.0,1.6,2.3,15.3,,-3.94
247,Erick Green,Virginia Tech,,129,89,28.3,4.6,10.5,.437,3.5,7.3,.480,1.1,3.2,.338,3.2,4.0,.804,0.5,2.1,2.6,2.5,1.2,0.2,1.4,1.6,13.5,,5.97
248,Ryan Kelly,Eastern Illinois,,41,0,16.3,0.7,1.2,.529,0.7,1.2,.540,0.0,0.0,.000,0.4,0.9,.474,0.7,1.2,1.9,0.4,0.2,0.3,0.6,2.2,1.8,,-2.08
249,Erik Murphy,Florida,,136,67,18.3,2.9,5.7,.514,1.9,3.3,.572,1.1,2.4,.435,0.8,1.1,.757,1.2,2.6,3.7,0.7,0.4,0.6,1.0,2.2,7.7,,7.22
250,James Ennis,Long Beach State,,67,66,31.0,4.5,9.0,.493,3.0,4.9,.611,1.5,4.1,.354,2.8,3.6,.788,1.6,3.8,5.4,2.4,1.7,1.0,2.5,2.4,13.2,,1.39
251,Lorenzo Brown,NC State,,101,95,32.6,4.1,9.5,.429,3.4,7.4,.464,0.6,2.1,.305,2.8,3.8,.741,0.7,3.5,4.2,5.8,1.7,0.5,3.0,1.9,11.6,,6.92
252,Peyton Siva,Louisville,,144,113,26.2,2.9,6.9,.417,2.2,4.5,.482,0.7,2.4,.291,2.0,2.8,.737,0.3,2.1,2.4,4.7,1.8,0.1,2.7,2.6,8.4,,8.58
253,Anthony Davis,Austin Peay,,124,115,30.1,4.9,11.6,.420,3.7,8.0,.470,1.1,3.6,.311,2.4,3.3,.728,1.4,3.0,4.4,2.3,1.6,0.3,2.0,2.2,13.3,,-1.59
254,Michael Kidd-Gilchrist,Kentucky,,40,39,31.1,4.0,8.2,.491,3.7,6.9,.535,0.3,1.3,.255,3.6,4.8,.745,2.6,4.9,7.4,1.9,1.0,0.9,2.2,2.4,11.9,,7.93
255,Bradley Beal,Florida,,37,37,34.2,4.7,10.6,.445,3.0,5.6,.541,1.7,5.0,.339,3.6,4.7,.769,1.4,5.4,6.7,2.2,1.4,0.8,2.1,2.1,14.8,,7.33
256,Dion Waiters,Syracuse,,71,0,20.4,3.5,7.7,.453,2.5,4.9,.513,1.0,2.8,.348,1.8,2.3,.753,0.4,1.5,1.9,2.0,1.5,0.2,1.1,1.6,9.7,,8.40
257,Damian Lillard,Weber State,,104,98,32.3,5.6,12.6,.446,3.3,6.5,.497,2.4,6.1,.390,5.0,5.8,.867,0.4,3.9,4.3,3.5,1.2,0.2,2.4,2.1,18.6,,-2.21
258,Harrison Barnes,UNC,,75,73,29.3,5.8,13.6,.430,4.3,9.1,.469,1.5,4.4,.349,3.1,4.3,.734,2.0,3.5,5.5,1.3,0.9,0.4,1.9,1.9,16.3,,8.61
259,Terrence Ross,Washington,,69,39,24.4,4.6,10.1,.453,2.9,5.5,.528,1.7,4.6,.364,1.4,1.8,.764,1.1,3.5,4.7,1.2,0.9,0.7,1.4,2.4,12.3,,6.51
260,Andre Drummond,UConn,,34,30,28.4,4.6,8.6,.538,4.6,8.5,.541,0.0,0.1,.000,0.8,2.6,.295,3.4,4.2,7.6,0.4,0.8,2.7,1.5,2.2,10.0,,8.07
261,Austin Rivers,Duke,,34,33,33.2,5.1,11.8,.433,3.4,7.1,.477,1.7,4.7,.365,3.6,5.4,.658,0.6,2.8,3.4,2.1,1.0,0.0,2.3,2.2,15.5,,8.40
262,Meyers Leonard,Illinois,,65,30,19.8,3.0,5.4,.567,3.0,5.2,.585,0.0,0.2,.083,1.6,2.2,.729,1.3,3.4,4.7,0.7,0.3,1.1,1.4,2.2,7.7,,9.55
263,Jeremy Lamb,UConn,,75,74,32.1,5.3,11.0,.482,3.8,6.6,.573,1.6,4.5,.348,1.9,2.4,.806,1.1,3.6,4.7,1.7,1.0,0.6,1.6,1.6,14.1,,9.25
264,Kendall Marshall,UNC,,73,55,28.8,2.5,5.6,.446,1.8,3.8,.484,0.7,1.8,.366,1.5,2.2,.693,0.2,2.2,2.3,8.0,1.1,0.1,2.6,1.5,7.2,,8.61
265,John Henson,UNC,,109,82,23.8,4.4,8.8,.497,4.3,8.5,.505,0.0,0.2,.208,1.6,3.2,.484,2.5,5.7,8.1,1.0,0.6,2.5,1.5,1.5,10.3,,9.02
266,Maurice Harkless,St. John's (NY),,32,32,36.1,6.0,13.3,.452,5.5,10.9,.506,0.5,2.5,.215,2.9,4.3,.676,2.8,5.9,8.6,1.5,1.6,1.4,2.5,2.3,15.5,,6.98
267,Royce White,Iowa State,,34,33,31.5,5.1,9.6,.534,5.0,9.3,.541,0.1,0.4,.333,3.0,6.0,.498,2.5,6.8,9.3,5.0,1.2,0.9,3.8,2.6,13.4,,7.32
268,Tyler Zeller,UNC,,117,75,23.0,4.7,8.6,.543,4.7,8.6,.544,0.0,0.0,.000,3.5,4.5,.775,2.7,4.0,6.7,0.6,0.7,1.1,1.4,2.3,12.8,,8.85
269,Terrence Jones,Kentucky,,76,69,30.4,5.0,10.8,.467,4.5,9.1,.493,0.6,1.7,.328,3.4,5.3,.638,2.5,5.5,8.0,1.5,1.2,1.8,1.8,2.4,14.0,,8.42
270,Andrew Nicholson,St. Bonaventure,,123,118,29.9,6.6,11.4,.575,6.3,10.8,.586,0.2,0.6,.377,3.7,5.1,.720,2.2,5.0,7.2,0.7,0.5,2.0,2.4,3.0,17.1,,1.35
271,Jared Sullinger,Ohio State,,74,72,31.0,6.1,11.5,.530,5.8,10.8,.541,0.3,0.7,.365,4.9,6.7,.733,3.3,6.4,9.7,1.2,1.1,0.8,1.8,2.7,17.3,,8.73
