,playerName,playerNameTrue,Pos,GP,TRB,AST,STL,BLK,PTS
989,Donny Marshall,Donny Marshall,SF,34.0,0.8,0.2,0.2,0.1,2.3
990,Dwayne Whitfield,Dwayne Whitfield,PF,8.0,3.1,0.3,0.4,0.3,5.0
991,Donnie Boyce,Donnie Boyce,SG,8.0,1.3,0.4,0.4,0.1,3.0
992,Eric Snow,Eric Snow,PG,43.0,1.0,1.7,0.7,0.0,2.7
993,Tyus Edney,Tyus Edney,PG,80.0,2.5,6.1,1.1,0.0,10.8
994,Mark Davis,Mark Davis,SF,57.0,2.2,0.8,0.7,0.4,3.3
995,Jerome Allen,Jerome Allen,SG,41.0,0.6,1.2,0.5,0.1,2.6
996,Martin Lewis,Martin Lewis,SF,16.0,1.8,0.2,0.5,0.2,4.7
997,Fred Hoiberg,Fred Hoiberg,SG,15.0,0.6,0.5,0.4,0.1,2.1
998,Michael McDonald,Michael McDonald,C,1.0,1.0,0.0,0.0,0.0,0.0
999,Chris Carr,Chris Carr,SG,60.0,1.7,0.7,0.2,0.1,4.0
1000,Cuonzo Martin,Cuonzo Martin,SG,4.0,0.5,0.5,0.3,0.0,2.3
1001,Don Reid,Don Reid,PF,69.0,2.9,0.2,0.7,0.6,3.8
1002,Glenn Robinson,Glenn Robinson,SF,80.0,6.4,2.5,1.4,0.3,21.9
1003,Jason Kidd,Jason Kidd,PG,79.0,5.4,7.7,1.9,0.3,11.7
1004,Grant Hill,Grant Hill,SF,70.0,6.4,5.0,1.8,0.9,19.9
1005,Donyell Marshall,Donyell Marshall,SF,72.0,5.6,1.5,0.6,1.2,12.6
1006,Juwan Howard,Juwan Howard,PF,65.0,8.4,2.5,0.8,0.2,17.0
1007,Sharone Wright,Sharone Wright,C,79.0,6.0,0.6,0.5,1.3,11.4
1008,Lamond Murray,Lamond Murray,SF,81.0,4.4,1.6,0.9,0.7,14.1
1009,Brian Grant,Brian Grant,PF,80.0,7.5,1.2,0.6,1.5,13.2
1010,Eric Montross,Eric Montross,C,78.0,7.3,0.5,0.4,0.8,10.0
1011,Eddie Jones,Eddie Jones,SG,64.0,3.9,2.0,2.0,0.6,14.0
1012,Carlos Rogers,Carlos Rogers,C,49.0,5.7,0.8,0.4,1.1,8.9
1013,Khalid Reeves,Khalid Reeves,PG,67.0,2.8,4.3,1.1,0.1,9.2
1014,Jalen Rose,Jalen Rose,SF,81.0,2.7,4.8,0.8,0.3,8.2
1015,Yinka Dare,Yinka Dare,C,1.0,1.0,0.0,0.0,0.0,0.0
1016,Eric Piatkowski,Eric Piatkowski,SG,81.0,1.6,1.0,0.5,0.2,7.0
1017,Clifford Rozier,Clifford Rozier,C,66.0,7.4,0.7,0.5,0.6,6.8
1018,Aaron McKie,Aaron McKie,SG,45.0,2.9,2.0,0.8,0.4,6.5
1019,Eric Mobley,Eric Mobley,C,46.0,3.3,0.5,0.2,0.6,3.9
1020,Tony Dumas,Tony Dumas,SG,58.0,1.1,1.0,0.2,0.1,4.6
1021,B.J. Tyler,B.J. Tyler,PG,55.0,1.1,3.2,0.7,0.0,3.5
1022,Dickey Simpkins,Dickey Simpkins,PF,59.0,2.6,0.6,0.2,0.1,3.5
